key,name,provider,provider_slug,category,category_label,benefit_type,application_status,application_status_source_url,application_status_checked_at,value_text,value_usd,eligibility,stages,max_funding_raised_usd,max_company_age_years,geographies,recurring_or_expiry,other_requirements,confidence,last_verified,source_url,apply_url,url
alibaba-cloud-startup-ai-catalyst-program,Alibaba Cloud Startup / AI Catalyst Program,Alibaba Cloud,alibaba-cloud,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,Up to $120K credits,120000,Any startup,pre-seed; seed; series-a,,10,,"Credits valid ~1 year (AI Catalyst lifetime); rolling applications, ~4-5 business day review.","AI must be the core technology. Private company, typically under 5-10 years old, not a heavy cloud spender; live website or working prototype. AI Catalyst track skews APAC.",medium,,https://www.alibabacloud.com/en/startup/terms-and-conditions,https://www.alibabacloud.com/en/startup,https://startupperks.co/programs/alibaba-cloud-startup-ai-catalyst-program
ibm-startup-program-global-entrepreneur,IBM Startup Program (Global Entrepreneur),IBM,ibm,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,Up to $120K credits,120000,Any startup,idea; pre-seed; seed,,5,,12-month credit window (monthly allowance by level).,"Revenue under $1M in last 12 months, operating under 5 years, no prior IBM technology credits, not already a paying IBM Cloud customer. Non-dilutive.",medium,,https://www.ibm.com/cloud/startups,https://www.ibm.com/cloud/startups,https://startupperks.co/programs/ibm-startup-program-global-entrepreneur
akamai-cloud-rise-startup-program,Akamai Cloud Rise Startup Program,Akamai (Linode),akamai-linode,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,"Up to US$120,000 in cloud credits during the first year",120000,Any startup,pre-seed; seed; series-a,,7,,"3-year program: credits year 1, discounts years 2-3.","Under 7 years old, working website, corporate email, and at least one of: paid employees beyond founders, active external users, or initial revenue. Prioritizes SaaS, media, gaming.",high,2026-08-31T18:00:52.594Z,https://www.linode.com/start-ups/rise/,https://www.linode.com/start-ups/rise/,https://startupperks.co/programs/akamai-cloud-rise-startup-program
ovhcloud-startup-program,OVHcloud Startup Program,OVHcloud,ovhcloud,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,"Up to €100,000 of free cloud credits",,Any startup,pre-seed; seed; series-a,,5,,12-month credit window per level; headline value in EUR (USD approximate).,"Tech-focused, under 5 years old, fewer than 50 employees, revenue below EUR 10M. Start = pre-seed/seed; Scale = Series A. No equity taken.",high,2026-08-31T18:00:52.594Z,https://startup.ovhcloud.com/en/,https://startup.ovhcloud.com/en/,https://startupperks.co/programs/ovhcloud-startup-program
oracle-for-startups,Oracle for Startups,Oracle,oracle,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,Up to $100K credits,100000,Any startup,pre-seed; seed; series-a; series-b-plus,,10,,Discount runs ~2 years; credits one-time.,Generally under 10 years old with an MVP. $100K levels typically come through accelerator/VC partnerships. Non-dilutive.,medium,,https://www.oracle.com/startup/,https://www.oracle.com/startup/,https://startupperks.co/programs/oracle-for-startups
digitalocean-hatch,DigitalOcean Hatch,DigitalOcean,digitalocean,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,12 months of DigitalOcean credits,,Any startup,idea; pre-seed; seed; series-a,10000000,,,12-month credit window; award level set per partner.,"Must have raised $10M or less; matching corporate email; registered DigitalOcean team account. Prioritizes AI-native startups. Service businesses (agencies, consulting) ineligible.",high,2026-08-15T06:02:06.427Z,https://www.digitalocean.com/startups,https://www.digitalocean.com/startups,https://startupperks.co/programs/digitalocean-hatch
render-for-startups,Render for Startups,Render,render,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,Up to $100K in startup credits,100000,VC / accelerator-backed,pre-seed; seed; series-a,,,,One-time credit grant; tier set at application.,Apply through a registered Render accelerator or VC partner; tier scales with funding. Top $100K AI tier requires $2.5M+ raised and compute-intensive workloads.,high,2026-08-15T00:01:17.954Z,https://render.com/startups,https://render.com/startups,https://startupperks.co/programs/render-for-startups
neon-startup-program,Neon Startup Program,Neon (Databricks),neon-databricks,databases-data,Databases & Data,Credits,unknown,,,"Up to $100,000 in Neon credits",100000,Any startup,idea; pre-seed; seed; series-a,,,,Credits valid 12 months.,Top tier ($100K) requires VC-backed or recognized accelerator; self-funded track requires under $1M raised and an early-stage product/MVP.,high,2026-08-15T00:01:17.954Z,https://neon.com/blog/startup-program,https://neon.com/startups,https://startupperks.co/programs/neon-startup-program
claude-for-startups-anthropic-startup-program,Claude for Startups (Anthropic Startup Program),Anthropic,anthropic,ai-ml,AI & ML,Credits,unknown,,,Up to $100K credits,,VC / accelerator-backed,pre-seed; seed; series-a,,4,,Credits valid ~12 months; one-time.,"Raised institutional equity funding, founded within last 4 years, not previously received Anthropic startup credits. Non-funded founders can join but do not get credits.",high,2026-08-19T00:03:12.358Z,https://www.anthropic.com/startup-program-official-terms,https://claude.com/programs/startups,https://startupperks.co/programs/claude-for-startups-anthropic-startup-program
nvidia-inception,NVIDIA Inception,NVIDIA,nvidia,ai-ml,AI & ML,Credits,unknown,,,Free program,,Incorporated,idea; pre-seed; seed; series-a; series-b-plus; any,,10,,"Ongoing membership, no cohorts.","Incorporated, under 10 years old, at least one developer, working website. Excludes consulting firms, crypto, cloud providers, resellers, public companies. Cloud credits accessed via partner programs.",high,2026-08-31T18:01:01.720Z,https://www.nvidia.com/en-us/startups/,https://www.nvidia.com/en-us/startups/,https://startupperks.co/programs/nvidia-inception
datadog-for-startups,Datadog for Startups,Datadog,datadog,dev-tools,Developer Tools,Credits,unknown,,,Up to $100k in credits,100000,VC / accelerator-backed,pre-seed; seed; series-a,,,,Credits for 12 months.,"Pre-seed, seed or Series A with a VC or accelerator referral (must be in the Datadog partner network); company-domain email and real website.",high,2026-08-31T18:01:01.720Z,https://www.datadoghq.com/partner/datadog-for-startups/,https://www.datadoghq.com/partner/datadog-for-startups/,https://startupperks.co/programs/datadog-for-startups
grafana-labs-startup-program,Grafana Labs Startup Program,Grafana Labs,grafana-labs,dev-tools,Developer Tools,Credits,unknown,,,"Up to $100,000 in Grafana Cloud credits",100000,Any startup,pre-seed; seed; series-a,10000000,,,12 months or until next funding round,"Ideally under $10M raised and under 25 employees (soft guidelines, encouraged to apply otherwise). Must agree to be a reference customer.",high,2026-08-15T06:02:06.427Z,https://grafana.com/blog/grafana-labs-startup-program/,https://grafana.com/blog/grafana-labs-startup-program/,https://startupperks.co/programs/grafana-labs-startup-program
deepgram-startup-program,Deepgram Startup Program,Deepgram,deepgram,ai-ml,AI & ML,Credits,unknown,,,"Up to $100,000 in credits over 12 months",100000,Any startup,pre-seed; seed; series-a,,,,"Credits must be used within 12 months; review within ~1 week, credits deposited 24-48h after acceptance.","Must be an AI builder or early-stage startup, in production or launching within the next 6 months, and committed to actively building and engaging with the Deepgram community.",high,2026-08-15T06:02:06.427Z,https://deepgram.com/startup-program,https://deepgram.com/startup-program,https://startupperks.co/programs/deepgram-startup-program
aiven-cluster-startup-program,Aiven Cluster Startup Program,Aiven,aiven,databases-data,Databases & Data,Credits,unknown,,,"Get up to $100,000 in Aiven credits",100000,Any startup,pre-seed; seed; series-a; series-b-plus,,7,,Credits used over a 12-month period.,"Startup 7 years old or younger, raised between pre-seed and Series B, applying with a business email address.",high,2026-08-15T12:01:12.881Z,https://aiven.io/startups,https://aiven.io/startups,https://startupperks.co/programs/aiven-cluster-startup-program
airbyte-startup-program-yc,Airbyte Startup Program (YC),Airbyte,airbyte,databases-data,Databases & Data,Credits,unknown,,,"$75,000 in credits",75000,Accelerator-backed,seed; series-a,5000000,,,Credits applied to Airbyte Cloud usage.,"Must be in a current or any previous Y Combinator batch, have raised under $5M total, and be a new (not existing) Airbyte customer.",high,2026-08-15T12:01:12.881Z,https://airbyte.com/company/ycombinator-startup-promotion,https://airbyte.com/company/startup-program,https://startupperks.co/programs/airbyte-startup-program-yc
modal-startups,Modal Startups,Modal,modal,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,Thousands of free GPU credits,,VC / accelerator-backed,pre-seed; seed; series-a,,,,Credits valid 12 months; one-time per tier.,"New to Modal (not an existing paid customer), and either backed by a Modal VC partner or raised over $1M (Seed-Series A). Needs a live product or strong technical team.",medium,2026-08-15T12:01:12.881Z,https://modal.com/startups,https://modal.com/startups,https://startupperks.co/programs/modal-startups
fivetran-startup-program,Fivetran Startup Program,Fivetran,fivetran,databases-data,Databases & Data,Credits,unknown,,,$50k of free Fivetran,50000,Accelerator-backed,pre-seed; seed; series-a,,,,Free usage valid over 12 months.,Headline offer requires Y Combinator membership; Fivetran may backcharge companies not meeting eligibility.,medium,2026-08-15T12:01:12.881Z,https://www.fivetran.com/pricing/startups,https://www.fivetran.com/pricing/startups,https://startupperks.co/programs/fivetran-startup-program
together-ai-startup-accelerator,Together AI Startup Accelerator,Together AI,together-ai,ai-ml,AI & ML,Credits,unknown,,,Up to $50K in free platform credits,50000,Any startup,seed; series-a; series-b-plus,,,,Cohort-based selection.,Credit tier set by total funding raised. No equity required.,high,2026-08-15T18:00:52.673Z,https://www.together.ai/blog/announcing-together-ai-startup-accelerator,https://www.together.ai/startups,https://startupperks.co/programs/together-ai-startup-accelerator
atlassian-for-startups,Atlassian for Startups,Atlassian,atlassian,productivity-saas,Productivity & SaaS,Free plan,unknown,,,Premium edition of our products for $0 for 12 months,0,VC / accelerator-backed,pre-seed; seed; series-a,10000000,,,"Free for 12 months, up to 50 users.",Not an existing Atlassian paid customer; raised no more than $10M in external funding; VC-backed or accelerator/incubator affiliated.,high,2026-08-15T18:00:52.673Z,https://www.atlassian.com/software/startups,https://www.atlassian.com/software/startups,https://startupperks.co/programs/atlassian-for-startups
posthog-for-startups,PostHog for Startups,PostHog,posthog,dev-tools,Developer Tools,Credits,unknown,,,"$50,000 in credits for 12 months",50000,Any startup,pre-seed; seed; series-a,5000000,2,,Credits valid for 12 months from approval.,Company less than two years old and raised less than $5M in total funding; must create a PostHog account first.,high,2026-08-16T00:03:28.097Z,https://posthog.com/startups,https://posthog.com/startups,https://startupperks.co/programs/posthog-for-startups
fal-startup-deals-a16z-entrepreneur-first-partners,fal Startup Deals (a16z / Entrepreneur First partners),fal,fal,ai-ml,AI & ML,Credits,unknown,,,"Up to $50,000 in credits",50000,Referral required,pre-seed; seed; series-a,,,,Partner-deal credits; terms per program.,"Access is via fal's partner programs (e.g., a16z portfolio, Entrepreneur First); a separate fal ventures Generative Media Fund invests up to $250K per team in cash plus fal credits.",medium,2026-08-18T12:01:14.010Z,https://fal.ai/a16z,https://fal.ai/a16z,https://startupperks.co/programs/fal-startup-deals-a16z-entrepreneur-first-partners
amplitude-startup-scholarship,Amplitude Startup Scholarship,Amplitude,amplitude,marketing-sales,Marketing & Sales,Free plan,unknown,,,One year of the Growth plan at no cost,,Any startup,pre-seed; seed; series-a,10000000,,,Free for 12 months; then upgrade to Growth or revert to the Free plan.,Fewer than 20 employees.,high,2026-08-16T06:00:35.882Z,https://amplitude.com/docs/faq/startup-scholarship-plan,https://amplitude.com/startups,https://startupperks.co/programs/amplitude-startup-scholarship
vercel-for-startups,Vercel for Startups,Vercel,vercel,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,"Up to $30,000 in credits",30000,Any startup,pre-seed; seed; series-a,,,,One-time credit grant.,Raised Series A or less; apply within 12 months of the most recent round; no prior Vercel for Startups credits; matching email domain.,high,2026-08-16T12:01:40.271Z,https://vercel.com/startups/credits,https://vercel.com/startups/credits,https://startupperks.co/programs/vercel-for-startups
baseten-for-startups-ai-startup-program,Baseten for Startups (AI Startup Program),Baseten,baseten,ai-ml,AI & ML,Credits,unknown,,,"Up to $25,000 in credits for Dedicated Inference or Training and up to $2,500 in credits for Model APIs",,Any startup,pre-seed; seed; series-a,,,,Credits must be consumed within 6 months of grant date.,Net-new customers only: must never have received any credits from Baseten before.,high,2026-08-18T18:00:37.415Z,https://www.baseten.co/startup-program/,https://www.baseten.co/startup-program/,https://startupperks.co/programs/baseten-for-startups-ai-startup-program
retool-for-startups,Retool for Startups,Retool,retool,dev-tools,Developer Tools,Credits,unknown,,,"$25,000 in Retool credits in the first year",25000,Any startup,idea; pre-seed; seed; series-a,10000000,10,,"$25k credits Year 1, then 25% off Year 2.","Bootstrapped, angel/debt-funded, pre-seed, seed, or Series A; raised less than $10M total; founded within the past 10 years.",high,2026-08-19T00:03:12.358Z,https://retool.com/blog/startupprogram,https://retool.com/startups,https://startupperks.co/programs/retool-for-startups
workos-for-startups,WorkOS for Startups,WorkOS,workos,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free up to 1 million MAUs,,Any startup,pre-seed; seed; series-a,,,,"Enterprise features free for up to 12 months, then paid ($125/connection/month standard).",Early-stage startup with a company-domain email and a live product website matching the application. No equity required. Review typically 1-3 weeks.,medium,2026-08-19T06:01:34.699Z,https://workos.com/startups,https://workos.com/startups,https://startupperks.co/programs/workos-for-startups
runpod-startup-program,Runpod Startup Program,Runpod,runpod,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,$75K total credits,75000,Any startup,pre-seed; seed; series-a; series-b-plus,,,,Growth tier is a 12-month agreement; Starter credits are a one-time grant.,Venture backing strongly preferred for the Growth tier (most accepted startups raised Seed-Series B+); Starter tier open to earlier-stage teams with real AI workloads. Applications reviewed holistically.,medium,2026-08-19T06:01:34.699Z,https://www.runpod.io/startup-program,https://www.runpod.io/startup-program,https://startupperks.co/programs/runpod-startup-program
auth0-for-startups,Auth0 for Startups,Auth0 (Okta),auth0-okta,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,"One year of Auth0, free for your startup",,VC / accelerator-backed,pre-seed; seed; series-a,5000000,2,,"Free for one year, then standard pricing.","Must be venture-backed with under $5M total funding, under $1M ARR, and under 2 years from incorporation. Excludes existing paid Auth0/Okta customers and prior program members. Apply with a company-domain email and live website.",high,2026-08-19T12:00:37.434Z,https://auth0.com/startups,https://auth0.com/startups,https://startupperks.co/programs/auth0-for-startups
confluent-for-startups,Confluent for Startups,Confluent,confluent,databases-data,Databases & Data,Credits,unknown,,,Up to One Year of Confluent Cloud,,Any startup,idea; pre-seed; seed; series-a; series-b-plus,,5,,Includes one year of technical support.,"Founded within last 5 years (Series B or earlier, with exceptions), new to Confluent (not a Commit customer), not previously received Confluent credits.",medium,2026-08-31T18:01:16.602Z,https://www.confluent.io/startups/,https://www.confluent.io/startups/,https://startupperks.co/programs/confluent-for-startups
circleci-startup-program,CircleCI Startup Program,CircleCI,circleci,dev-tools,Developer Tools,Credits,unknown,,,"Up to $20,000 in compute credits",20000,VC / accelerator-backed,pre-seed; seed; series-a,,5,,Promotional period up to 24 months or until credits consumed,Must be new to CircleCI or on the Free plan; founded within the last 5 years; part of a recognized accelerator/VC OR proof of minimum $500K raised. Credit amount and duration vary by stage and location.,high,2026-08-19T18:00:37.593Z,https://circleci.com/startup-program,https://circleci.com/startup-program,https://startupperks.co/programs/circleci-startup-program
assemblyai-startup-program,AssemblyAI Startup Program,AssemblyAI,assemblyai,ai-ml,AI & ML,Credits,unknown,,,12 months of recurring free credits,,Any startup,pre-seed; seed; series-a,,,,12 months of recurring monthly credits; allocations scale with usage.,Early-stage teams building voice/Speech AI products.,medium,2026-08-20T00:00:38.674Z,https://www.assemblyai.com/contact/startup-program,https://www.assemblyai.com/contact/startup-program,https://startupperks.co/programs/assemblyai-startup-program
motherduck-startup-program,MotherDuck Startup Program,MotherDuck,motherduck,databases-data,Databases & Data,Discount,unknown,,,"$16,000 worth of MotherDuck for an $8,000 annual commitment",16000,Any startup,idea; pre-seed; seed; series-a,5000000,,,Annual commitment structure.,"Less than $5M in funding (bootstrapped welcome), fewer than 20 employees, and a new customer or existing Free-plan customer.",high,2026-08-20T06:03:26.599Z,https://motherduck.com/startups/,https://motherduck.com/startups/,https://startupperks.co/programs/motherduck-startup-program
notion-for-startups,Notion for Startups,Notion,notion,productivity-saas,Productivity & SaaS,Free plan,unknown,,,Up to 6 months free on the Business plan with Notion AI included,,Any startup,idea; pre-seed; seed; series-a,,,,Credit applied for 1-6 months depending on tier; one redemption per company; does not stack.,"New, non-paying Notion customer, under 100 employees, building a scalable tech product, live website and company-domain email (not Gmail/Outlook). Service/agency businesses get a lower tier.",high,2026-08-20T12:01:31.066Z,https://www.notion.com/startups,https://www.notion.com/startups,https://startupperks.co/programs/notion-for-startups
fireworks-for-startups,Fireworks for Startups,Fireworks AI,fireworks-ai,ai-ml,AI & ML,Credits,unknown,,,Build Credits,,Any startup,pre-seed; seed; series-a; series-b-plus,,,,One-time build credit.,"Non-dilutive, no equity. AI-native startups needing fast inference (pre-seed through Series B).",medium,2026-08-29T12:00:22.268Z,https://fireworks.ai/blog/fireworks-for-startups,https://fireworks.ai/startup-program,https://startupperks.co/programs/fireworks-for-startups
github-for-startups,GitHub for Startups,GitHub,github,dev-tools,Developer Tools,Credits,unknown,,,"$10,000 in GitHub credits",10000,VC / accelerator-backed,pre-seed; seed; series-a,,,,12-month benefit period; Year 2 50% off if partner-qualified.,Funded up to Series A or affiliated with a GitHub for Startups partner; new to GitHub Enterprise (or not on Enterprise in the past 6 months); not previously received these credits.,high,2026-08-29T18:01:22.267Z,https://github.com/enterprise/startups,https://github.com/enterprise/startups,https://startupperks.co/programs/github-for-startups
drata-for-startups,Drata for Startups,Drata,drata,security-legal-hr,"Security, Legal & HR",Discount,unknown,,,Up to $10K discount,10000,VC / accelerator-backed,seed; series-a; series-b-plus,,,,Discount applies to first contract; investor must be on Drata's participating-firm list.,Must have an investor on Drata's list of participating venture firms (or have Drata onboard them); pursuing SOC 2 / ISO 27001. Open seed through Series B.,high,,https://drata.com/lp/startups,https://drata.com/lp/startups,https://startupperks.co/programs/drata-for-startups
algolia-for-startups,Algolia for Startups,Algolia,algolia,dev-tools,Developer Tools,Credits,unknown,,,"$10,000 in Algolia Credits",10000,Any startup,pre-seed; seed; series-a,5000000,3,,Credits usable within first 12 months,"Must be less than 3 years old, raised less than $5M, and a new Algolia customer with no prior coupon code used.",high,2026-08-31T18:01:16.602Z,https://www.algolia.com/industries/startups,https://www.algolia.com/industries/startups,https://startupperks.co/programs/algolia-for-startups
langsmith-for-startups,LangSmith for Startups,LangChain,langchain,dev-tools,Developer Tools,Credits,unknown,,,"$10K in credits, available for 1 year",10000,VC / accelerator-backed,pre-seed; seed; series-a,10000000,,,Startup Plan lasts 1 year before graduating to the Plus Plan (2 years for YC).,Build tier requires being a first-time customer with less than $10M in funding and having raised at least $25K in seed funding; Scale tier available to startups backed by LangChain's VC/accelerator partners.,medium,2026-08-31T18:01:16.602Z,https://www.langchain.com/startups,https://www.langchain.com/startups,https://startupperks.co/programs/langsmith-for-startups
clickhouse-cloud-startup-program-y-combinator,ClickHouse Cloud Startup Program (Y Combinator),ClickHouse,clickhouse,databases-data,Databases & Data,Credits,unknown,,,"$10,000 in ClickHouse Cloud credits",10000,Accelerator-backed,seed; series-a,,,,Credits valid for ~24 months.,"Current or past Y Combinator company, pre-Series D, and new to ClickHouse Cloud. A separate broader Cloud Startup Program exists with criteria on the program site.",high,2026-09-01T00:01:02.652Z,https://clickhouse.com/deals/ycombinator,https://clickhouse.com/deals/ycombinator,https://startupperks.co/programs/clickhouse-cloud-startup-program-y-combinator
lambda-for-startups-cloud-credits,Lambda for Startups (Cloud Credits),Lambda,lambda,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,Up to $8K credits,,Any startup,pre-seed; seed; series-a,,,,One-time credit grant.,Best fit for startups with an active GPU workload. No equity required.,medium,,https://lambda.ai/,https://lambda.ai/,https://startupperks.co/programs/lambda-for-startups-cloud-credits
zoom-for-startups,Zoom for Startups,Zoom,zoom,productivity-saas,Productivity & SaaS,Free plan,unknown,,,One year of Zoom Workplace Business Plus for up to 25 seats,,VC / accelerator-backed,pre-seed; seed; series-a,,,,One year free (up to 25 seats) or 30% off first year.,"Pre-seed to Series A, fewer than 50 employees, affiliated with a select Zoom startup partner, not an existing paid customer.",high,2026-09-01T00:01:02.652Z,https://www.zoom.com/en/lp/zoom-for-startups/,https://www.zoom.com/en/lp/zoom-for-startups/,https://startupperks.co/programs/zoom-for-startups
mongodb-for-startups,MongoDB for Startups,MongoDB,mongodb,databases-data,Databases & Data,Credits,unknown,,,Up to $5K credits,,Any startup,idea; pre-seed; seed; series-a,,7,,Credits valid 12 months after activation; 12-month window to activate.,"Under 7 years old, Series A or earlier, building a single scalable software product (not an agency), with a website. 12 months to activate the code, then 12 months to use credits.",high,2026-09-01T18:03:47.785Z,https://www.mongodb.com/solutions/startups,https://www.mongodb.com/solutions/startups,https://startupperks.co/programs/mongodb-for-startups
elastic-for-startups,Elastic for Startups,Elastic,elastic,databases-data,Databases & Data,Credits,unknown,,,Up to $5K credits,5000,Any startup,pre-seed; seed; series-a,,,,,Early-stage startup; specific caps vary by partner channel.,low,,https://www.decibel.vc/articles/creating-a-successful-startup-program-learnings-from-kelley-hilborn-of-elastic,https://www.elastic.co/,https://startupperks.co/programs/elastic-for-startups
lambda-research-grant,Lambda Research Grant,Lambda,lambda,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,Up to $5K credits,5000,No funding needed,idea,,,,Grant-based.,"Requires academic/research affiliation and a research proposal; for research, not commercial startups.",medium,,https://www.businesswire.com/news/home/20241209358457/en/Lambda-Launches-Grant-for-AI-Researchers-Expands-Research-Program,https://lambda.ai/research,https://startupperks.co/programs/lambda-research-grant
sentry-for-startups,Sentry for Startups,Sentry,sentry,dev-tools,Developer Tools,Credits,unknown,,,Up to $5K credits,5000,Any startup,pre-seed; seed; series-a,5000000,2,,"Credits expire 1 year after joining; one offer per company, no stacking.","Founded in the last 2 years, raised less than $5M in venture capital, new to paying for Sentry (prior free plan OK).",high,,https://sentry.io/for/startups/,https://sentry.io/for/startups/apply/,https://startupperks.co/programs/sentry-for-startups
every-io-free-incorporation-all-in-one-back-office,Every.io Free Incorporation + All-in-One Back Office,Every,every,finance-ops,Finance & Ops,Free plan,unknown,,,Incorporate your startup for $0,0,No funding needed,idea; pre-seed,,,US,Incorporation is free one-time; back-office platform is a recurring subscription from $25/mo.,Aimed at US Delaware C-Corp founders; state filing fees may still apply.,medium,2026-09-01T06:01:17.567Z,https://www.ycombinator.com/launches/MdN-every-io-incorporate-your-startup-for-0,https://www.every.io,https://startupperks.co/programs/every-io-free-incorporation-all-in-one-back-office
